scenario_id,provider,requested_model,effective_model,fallback_triggered,fallback_reason,remote_execution,ground_truth,final_decision,correct,false_closure,false_escalation,honest_exception,partial_attribution,rounds,tool_calls,tool_request_validity,evidence_efficiency,llm_latency,tool_latency,local_latency,total_latency,input_tokens,output_tokens,total_tokens,termination_reason,primary_failure_category
VAR-001_REFUND_VARIANCE,gemini,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,RESOLVED,True,False,False,False,False,2,0,N/A,50.0%,22942.80,0.00,1.86,22944.66,N/A,N/A,10449,RESOLVED,NONE
VAR-002_SAME_AMOUNT_DECOY,gemini,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,RESOLVED,True,False,False,False,False,1,0,N/A,50.0%,13758.11,0.00,1.64,13759.75,N/A,N/A,6157,RESOLVED,NONE
VAR-003_PARTIAL_EXPLANATION,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,PARTIALLY_RESOLVED,ESCALATE,False,False,True,False,False,1,0,N/A,50.0%,30155.62,0.00,1.01,30156.64,N/A,N/A,N/A,INVALID_LLM_RESPONSE,BUDGET_OR_TIMEOUT
VAR-004_MULTIPLE_EVENT_EXPLANATION,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,ESCALATE,False,False,True,False,False,1,0,N/A,66.7%,7861.30,0.00,1.11,7862.41,N/A,N/A,N/A,INVALID_LLM_RESPONSE,BUDGET_OR_TIMEOUT
VAR-005_UPI_LATE_SUCCESS,gemini,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,RESOLVED,True,False,False,False,False,1,0,N/A,100.0%,12593.05,0.00,1.45,12594.50,N/A,N/A,4887,RESOLVED,NONE
VAR-006_UPI_DEBIT_REVERSAL,gemini,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,RESOLVED,True,False,False,False,False,1,0,N/A,N/A,6175.34,0.00,1.61,6176.95,N/A,N/A,3404,RESOLVED,NONE
VAR-007_DELAYED_BANK_CREDIT,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,VALID_DELAYED_CREDIT,ESCALATE,False,False,True,False,False,1,0,N/A,N/A,2354.64,0.00,1.00,2355.64,N/A,N/A,N/A,INVALID_LLM_RESPONSE,BUDGET_OR_TIMEOUT
VAR-008_WRONG_DATE_DECOY,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,3195.83,0.00,0.81,3196.63,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
VAR-009_WRONG_PAYMENT_DECOY,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,14891.15,0.00,0.63,14891.78,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
VAR-010_COMPLETELY_UNEXPLAINED,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,512.70,0.00,0.89,513.59,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
AG-001_MISSING_MEMBERSHIP,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,ESCALATE,False,False,True,False,False,1,0,N/A,66.7%,496.95,0.00,1.62,498.57,N/A,N/A,N/A,INVALID_LLM_RESPONSE,BUDGET_OR_TIMEOUT
AG-002_WRONG_MEMBERSHIP,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,598.09,0.00,1.28,599.36,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
