Request ID,Scenario ID,Tool,Arguments,Valid,Duplicate,Rejection Reason,Executed,Execution Error
REQ-AG001-1,AG-001_MISSING_MEMBERSHIP,verify_membership,"{""event_id"": ""adj_scen_004_8075"", ""settlement_id"": ""setl_scen_004_2582""}",YES,NO,NONE,YES,NONE
REQ-AG002-1,AG-002_WRONG_MEMBERSHIP,verify_membership,"{""event_id"": ""adj_decoy_unrelated"", ""settlement_id"": ""setl_scen_002_8398""}",YES,NO,NONE,YES,NONE
REQ-AG003-1,AG-003_MISSING_UPI_HISTORY,retrieve_upi_history,"{""upi_transaction_id"": ""upi_scen_006_5564""}",YES,NO,NONE,YES,NONE
REQ-AG004-1,AG-004_LATE_UPI_SUCCESS,retrieve_upi_history,"{""upi_transaction_id"": ""upi_scen_005_5712""}",YES,NO,NONE,YES,NONE
REQ-AG005-1,AG-005_CONFLICTING_REFUND,retrieve_source_record,"{""source_id"": ""SRC-REFUNDS"", ""record_id"": ""rfnd_failed_candidate""}",NO,NO,Provenance record not found for rfnd_failed_candidate,NO,Provenance record not found for rfnd_failed_candidate
REQ-AG006-1,AG-006_TRULY_UNEXPLAINED,retrieve_temporal_neighbors,"{""entity_id"": ""setl_scen_010_1815"", ""reference_timestamp"": ""2026-08-20T12:00:00"", ""window_before_minutes"": 120, ""window_after_minutes"": 120}",YES,NO,NONE,YES,NONE
REQ-AG007-1,AG-007_DECOY_EXPLOSION,verify_membership,"{""event_id"": ""rfnd_scen_002_real_4522"", ""settlement_id"": ""setl_scen_002_8398""}",YES,NO,NONE,YES,NONE
REQ-AG008-1,AG-008_MULTI_STEP_FLAGSHIP,retrieve_related_evidence,"{""entity_type"": ""settlement_line"", ""entity_id"": ""line_pay_setl_scen_004_2582"", ""relationship"": ""source_event""}",NO,NO,No entity found for settlement_line:line_pay_setl_scen_004_2582,NO,No entity found for settlement_line:line_pay_setl_scen_004_2582
REQ-AG008-2,AG-008_MULTI_STEP_FLAGSHIP,verify_membership,"{""event_id"": ""adj_scen_004_8075"", ""settlement_id"": ""setl_scen_004_2582""}",YES,NO,NONE,YES,NONE
REQ-AG009-1,AG-009_REDUNDANT_TOOL_LOOP,verify_membership,"{""event_id"": ""adj_scen_004"", ""settlement_id"": ""setl_scen_004_2582""}",YES,NO,NONE,YES,NONE
REQ-AG010-1,AG-010_IRRELEVANT_EVIDENCE_TRAP,verify_membership,"{""event_id"": ""rfnd_unrelated_trap"", ""settlement_id"": ""setl_scen_002_8398""}",YES,NO,NONE,YES,NONE
REQ-AG011-1,AG-011_CONTRADICTORY_TOOL_RESULTS,retrieve_source_record,"{""source_id"": ""SRC-DISPUTES"", ""record_id"": ""disp_contradictory_record""}",NO,NO,Provenance record not found for disp_contradictory_record,NO,Provenance record not found for disp_contradictory_record
REQ-AG013-1,AG-013_BUDGET_EXHAUSTION,retrieve_related_evidence,"{""entity_type"": ""settlement_line"", ""entity_id"": ""line_hop_1_setl_scen_004_2582"", ""relationship"": ""source_event""}",NO,NO,No entity found for settlement_line:line_hop_1_setl_scen_004_2582,NO,No entity found for settlement_line:line_hop_1_setl_scen_004_2582
REQ-AG013-2,AG-013_BUDGET_EXHAUSTION,retrieve_related_evidence,"{""entity_type"": ""settlement_line"", ""entity_id"": ""line_hop_2_setl_scen_004_2582"", ""relationship"": ""source_event""}",NO,NO,No entity found for settlement_line:line_hop_2_setl_scen_004_2582,NO,No entity found for settlement_line:line_hop_2_setl_scen_004_2582
REQ-AG013-3,AG-013_BUDGET_EXHAUSTION,retrieve_related_evidence,"{""entity_type"": ""settlement_line"", ""entity_id"": ""line_hop_3_setl_scen_004_2582"", ""relationship"": ""source_event""}",NO,NO,No entity found for settlement_line:line_hop_3_setl_scen_004_2582,NO,No entity found for settlement_line:line_hop_3_setl_scen_004_2582
