scenario_id,case_id,category,ground_truth,final_decision,correct,primary_failure_category,reason_for_failure,false_closure,false_escalation,honest_exception,rounds,tool_calls,llm_latency_ms,total_latency_ms,total_tokens
VAR-001_REFUND_VARIANCE,CASE-001,Settlement RCA,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,10907.555100000536,10908.325899999909,
VAR-002_SAME_AMOUNT_DECOY,CASE-002,Settlement RCA,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,4294.763399999283,4295.947200000228,
VAR-003_PARTIAL_EXPLANATION,CASE-003,Settlement RCA,PARTIALLY_RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,5854.950000000827,5856.027999998332,
VAR-004_MULTIPLE_EVENT_EXPLANATION,CASE-004,Settlement RCA,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,2526.77550000044,2528.3672000005026,
VAR-005_UPI_LATE_SUCCESS,CASE-005,UPI State Investigation,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,6956.11320000171,6957.081599999583,
VAR-006_UPI_DEBIT_REVERSAL,CASE-006,UPI State Investigation,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,2876.331299999947,2876.827600000979,
VAR-007_DELAYED_BANK_CREDIT,CASE-007,Bank Settlement State,VALID_DELAYED_CREDIT,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,16793.733300000895,16794.717200000377,
VAR-008_WRONG_DATE_DECOY,CASE-008,Settlement RCA,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,2,2,32672.27620000085,32675.704700001006,5927
VAR-009_WRONG_PAYMENT_DECOY,CASE-009,Settlement RCA,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,1,0,4116.9160999997985,4117.727099999684,
VAR-010_COMPLETELY_UNEXPLAINED,CASE-010,Settlement RCA,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,2,1,14567.158300000301,14569.584299999406,5146
AG-001_MISSING_MEMBERSHIP,CASE-AG-001,Agentic Investigation,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,3681.022999999186,3682.234399999288,
AG-002_WRONG_MEMBERSHIP,CASE-AG-002,Agentic Investigation,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,1,0,20490.850899999714,20492.189900000085,
AG-003_MISSING_UPI_HISTORY,CASE-AG-003,Agentic Investigation,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,7904.348899999604,7905.01790000053,
AG-004_LATE_UPI_SUCCESS,CASE-AG-004,Agentic Investigation,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,11280.623200000264,11281.737299999804,
AG-005_CONFLICTING_REFUND,CASE-AG-005,Agentic Investigation,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,1,0,2999.8341999998956,3001.3054000010015,
AG-006_TRULY_UNEXPLAINED,CASE-AG-006,Agentic Investigation,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,1,0,8188.968399999794,8189.913199999864,
AG-007_DECOY_EXPLOSION,CASE-AG-007,Agentic Investigation,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,9054.030999999668,9055.178999999043,
AG-008_MULTI_STEP_FLAGSHIP,CASE-AG-008,Agentic Investigation,RESOLVED,ESCALATE,False,BUDGET_OR_TIMEOUT,LLM API HTTP 429 / empty response,False,True,False,1,0,21670.207400000436,21671.796800001175,
AG-009_REDUNDANT_TOOL_LOOP,CASE-AG-009,Agentic Investigation,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,1,0,3885.995099999491,3887.6204999996844,
AG-010_IRRELEVANT_EVIDENCE_TRAP,CASE-AG-010,Agentic Investigation,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,1,0,5197.825299999749,5199.38540000112,
AG-011_CONTRADICTORY_TOOL_RESULTS,CASE-AG-011,Agentic Investigation,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,1,0,16272.2700000013,16273.910100000649,
AG-012_CONFIDENT_BUT_WRONG_AI,CASE-AG-012,Agentic Investigation,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,1,0,15831.271900000502,15832.53169999989,
AG-013_BUDGET_EXHAUSTION,CASE-AG-013,Agentic Investigation,ESCALATE,ESCALATE,True,NONE,NONE,False,False,True,1,0,15699.234399999114,15701.391100001274,
