scenario_id,case_id,settlement_id,category,ground_truth,execution_status,infra_failure_type,correct,final_decision,rounds,tool_calls,reason_for_failure,primary_failure_category,false_closure,false_escalation,honest_exception,llm_latency_ms,total_latency_ms,total_tokens,retries_this_scenario,429_this_scenario,provider,requested_model,effective_model,allow_model_fallback,request_delay_seconds,max_retries
VAR-001_REFUND_VARIANCE,CASE-001,setl_scen_001_9984,Settlement RCA,RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,10907.555100000536,10908.325899999909,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
VAR-002_SAME_AMOUNT_DECOY,CASE-002,setl_scen_002_8398,Settlement RCA,RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,4294.763399999283,4295.947200000228,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
VAR-003_PARTIAL_EXPLANATION,CASE-003,setl_scen_003_7992,Settlement RCA,PARTIALLY_RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,5854.950000000827,5856.027999998332,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
VAR-004_MULTIPLE_EVENT_EXPLANATION,CASE-004,setl_scen_004_2582,Settlement RCA,RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,2526.77550000044,2528.3672000005026,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
VAR-005_UPI_LATE_SUCCESS,CASE-005,setl_scen_005_6761,UPI State Investigation,RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,6956.11320000171,6957.081599999583,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
VAR-006_UPI_DEBIT_REVERSAL,CASE-006,N/A,UPI State Investigation,RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,2876.331299999947,2876.827600000979,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
VAR-007_DELAYED_BANK_CREDIT,CASE-007,setl_scen_007_3955,Bank Settlement State,VALID_DELAYED_CREDIT,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,16793.733300000895,16794.717200000377,,3,4,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
VAR-008_WRONG_DATE_DECOY,CASE-008,setl_scen_008_2140,Settlement RCA,ESCALATE,COMPLETED,,True,ESCALATE,2,2,NONE,NONE,False,False,True,32672.27620000085,32675.704700001006,5927,3,3,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
VAR-009_WRONG_PAYMENT_DECOY,CASE-009,setl_scen_009_6585,Settlement RCA,ESCALATE,COMPLETED,,True,ESCALATE,1,0,NONE,NONE,False,False,True,4116.9160999997985,4117.727099999684,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
VAR-010_COMPLETELY_UNEXPLAINED,CASE-010,setl_scen_010_1815,Settlement RCA,ESCALATE,COMPLETED,,True,ESCALATE,2,1,NONE,NONE,False,False,True,14567.158300000301,14569.584299999406,5146,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
AG-001_MISSING_MEMBERSHIP,CASE-AG-001,setl_scen_004_2582,Agentic Investigation,RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,3681.022999999186,3682.234399999288,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
AG-002_WRONG_MEMBERSHIP,CASE-AG-002,setl_scen_002_8398,Agentic Investigation,ESCALATE,COMPLETED,,True,ESCALATE,1,0,NONE,NONE,False,False,True,20490.850899999714,20492.189900000085,,3,3,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
AG-003_MISSING_UPI_HISTORY,CASE-AG-003,N/A,Agentic Investigation,RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,7904.348899999604,7905.01790000053,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
AG-004_LATE_UPI_SUCCESS,CASE-AG-004,setl_scen_005_6761,Agentic Investigation,RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,11280.623200000264,11281.737299999804,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
AG-005_CONFLICTING_REFUND,CASE-AG-005,setl_scen_002_8398,Agentic Investigation,ESCALATE,COMPLETED,,True,ESCALATE,1,0,NONE,NONE,False,False,True,2999.8341999998956,3001.3054000010015,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
AG-006_TRULY_UNEXPLAINED,CASE-AG-006,setl_scen_010_1815,Agentic Investigation,ESCALATE,COMPLETED,,True,ESCALATE,1,0,NONE,NONE,False,False,True,8188.968399999794,8189.913199999864,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
AG-007_DECOY_EXPLOSION,CASE-AG-007,setl_scen_002_8398,Agentic Investigation,RESOLVED,COMPLETED,,False,ESCALATE,1,0,LLM API HTTP 429 / empty response,BUDGET_OR_TIMEOUT,False,True,False,9054.030999999668,9055.178999999043,,0,0,gemini,gemini-3.8-flash,gemini-3.8-flash,False,4.0,3
