scenario_id,ground_truth,live_decision,correct,false_closure,false_escalation,rounds,tool_calls,tools_requested,hypothesis_count,final_verifier_result,parser_valid,validator_valid,reason_for_failure,primary_failure_category,latency_ms,tokens
VAR-001_REFUND_VARIANCE,RESOLVED,RESOLVED,True,False,False,2,0,NONE,1,RESOLVED,True,True,NONE,NONE,22944.66,10449
VAR-002_SAME_AMOUNT_DECOY,RESOLVED,RESOLVED,True,False,False,1,0,NONE,1,RESOLVED,True,True,NONE,NONE,13759.75,6157
VAR-003_PARTIAL_EXPLANATION,PARTIALLY_RESOLVED,ESCALATE,False,False,True,1,0,NONE,0,ESCALATE,True,True,LLM network read timeout (30s exceeded),BUDGET_OR_TIMEOUT,30156.64,N/A
VAR-004_MULTIPLE_EVENT_EXPLANATION,RESOLVED,ESCALATE,False,False,True,1,0,NONE,0,ESCALATE,True,True,LLM API HTTP 429 Quota Exhausted / Empty Response on free tier,BUDGET_OR_TIMEOUT,7862.41,N/A
VAR-005_UPI_LATE_SUCCESS,RESOLVED,RESOLVED,True,False,False,1,0,NONE,1,RESOLVED,True,True,NONE,NONE,12594.50,4887
VAR-006_UPI_DEBIT_REVERSAL,RESOLVED,RESOLVED,True,False,False,1,0,NONE,1,RESOLVED,True,True,NONE,NONE,6176.95,3404
VAR-007_DELAYED_BANK_CREDIT,VALID_DELAYED_CREDIT,ESCALATE,False,False,True,1,0,NONE,0,ESCALATE,True,True,LLM API HTTP 429 Quota Exhausted / Empty Response on free tier,BUDGET_OR_TIMEOUT,2355.64,N/A
VAR-008_WRONG_DATE_DECOY,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,3196.63,N/A
VAR-009_WRONG_PAYMENT_DECOY,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,14891.78,N/A
VAR-010_COMPLETELY_UNEXPLAINED,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,513.59,N/A
AG-001_MISSING_MEMBERSHIP,RESOLVED,ESCALATE,False,False,True,1,0,NONE,0,ESCALATE,True,True,LLM API HTTP 429 Quota Exhausted / Empty Response on free tier,BUDGET_OR_TIMEOUT,498.57,N/A
AG-002_WRONG_MEMBERSHIP,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,599.36,N/A
AG-003_MISSING_UPI_HISTORY,RESOLVED,ESCALATE,False,False,True,1,0,NONE,0,ESCALATE,True,True,LLM API HTTP 429 Quota Exhausted / Empty Response on free tier,BUDGET_OR_TIMEOUT,501.02,N/A
AG-004_LATE_UPI_SUCCESS,RESOLVED,ESCALATE,False,False,True,1,0,NONE,0,ESCALATE,True,True,LLM API HTTP 429 Quota Exhausted / Empty Response on free tier,BUDGET_OR_TIMEOUT,655.20,N/A
AG-005_CONFLICTING_REFUND,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,455.50,N/A
AG-006_TRULY_UNEXPLAINED,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,550.64,N/A
AG-007_DECOY_EXPLOSION,RESOLVED,ESCALATE,False,False,True,1,0,NONE,0,ESCALATE,True,True,LLM API HTTP 429 Quota Exhausted / Empty Response on free tier,BUDGET_OR_TIMEOUT,315.73,N/A
AG-008_MULTI_STEP_FLAGSHIP,RESOLVED,ESCALATE,False,False,True,1,0,NONE,0,ESCALATE,True,True,LLM API HTTP 429 Quota Exhausted / Empty Response on free tier,BUDGET_OR_TIMEOUT,455.78,N/A
AG-009_REDUNDANT_TOOL_LOOP,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,373.95,N/A
AG-010_IRRELEVANT_EVIDENCE_TRAP,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,516.39,N/A
AG-011_CONTRADICTORY_TOOL_RESULTS,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,3465.85,N/A
AG-012_CONFIDENT_BUT_WRONG_AI,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,4229.71,N/A
AG-013_BUDGET_EXHAUSTION,ESCALATE,ESCALATE,True,False,False,1,0,NONE,0,ESCALATE,True,True,NONE,NONE,3792.86,N/A
